,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Pevek,69.7,170.31,42.98,88,27,27.94,RU,1595823521
70,Kapaa,22.08,-159.32,82.4,74,20,21.92,US,1595823521
71,San Quintín,30.48,-115.95,67.23,85,0,12.88,MX,1595823522
72,Mount Isa,-20.73,139.5,73.4,20,0,16.11,AU,1595823371
73,Adrar,20.5,-10.07,89.24,34,0,9.19,MR,1595823522
74,Erenhot,43.65,111.98,78.51,52,85,9.8,CN,1595823522
75,Klaksvík,62.23,-6.59,46.4,87,100,14.99,FO,1595823523
76,Palmas Bellas,9.23,-80.09,79.0,88,83,3.0,PA,1595823523
77,Chokurdakh,70.63,147.92,45.7,64,98,11.95,RU,1595823523
78,Ribeira Grande,38.52,-28.7,73.06,91,12,4.97,PT,1595823363
79,Richards Bay,-28.78,32.04,63.43,78,91,10.29,ZA,1595823524
80,Mogadishu,2.04,45.34,75.2,73,90,11.41,SO,1595823461
81,Punta Arenas,-53.15,-70.92,35.6,74,70,12.75,CL,1595823524
82,Salalah,17.02,54.09,80.6,88,90,6.93,OM,1595823524
83,Cairns,-16.92,145.77,82.99,34,0,14.99,AU,1595823525
84,Plaster Rock,46.91,-67.39,71.6,83,90,3.36,CA,1595823525
85,Quelimane,-17.88,36.89,60.8,93,13,3.51,MZ,1595823525
86,Saint-Philippe,-21.36,55.77,68.0,68,56,3.36,RE,1595823525
87,Kaitangata,-46.28,169.85,52.0,70,0,4.0,NZ,1595823525
88,Dawei,14.08,98.2,86.32,69,100,4.85,MM,1595823526
89,Tuktoyaktuk,69.45,-133.04,66.2,68,75,8.05,CA,1595823526
90,Lady Frere,-31.7,27.23,38.77,87,65,1.72,ZA,1595823526
91,Meulaboh,4.14,96.13,85.6,62,97,2.21,ID,1595823526
92,Rudnichnyy,59.62,52.47,66.13,66,15,1.88,RU,1595823526
93,Les Cayes,18.2,-73.75,79.5,82,5,2.17,HT,1595823527
94,Ullapool,57.9,-5.16,50.0,87,30,3.0,GB,1595823527
95,Necochea,-38.55,-58.74,46.99,80,86,5.99,AR,1595823527
96,Rawson,-43.3,-65.1,40.87,82,97,9.55,AR,1595823527
97,Warmbad,-28.45,18.73,54.73,39,0,9.91,NA,1595823527
98,Dikson,73.51,80.55,38.44,87,96,14.05,RU,1595823284
99,Ambilobe,-13.2,49.05,67.01,86,100,1.32,MG,1595823528
100,San Juan,-31.54,-68.54,53.6,38,1,13.69,AR,1595823528
101,Praia,14.92,-23.51,77.0,78,20,10.29,CV,1595823305
102,Santander,43.46,-3.8,66.99,93,0,2.24,ES,1595823346
103,Xenia,39.68,-83.93,78.01,69,1,4.7,US,1595823307
104,Kenai,60.55,-151.26,64.4,67,1,11.41,US,1595823529
105,Esim,4.87,-2.24,73.94,87,7,8.43,GH,1595823529
106,Mitsamiouli,-11.38,43.28,73.4,78,75,3.36,KM,1595823372
107,Nikolskoye,59.7,30.79,59.0,82,0,4.47,RU,1595823529
108,Prescott,34.54,-112.47,75.99,31,20,8.05,US,1595823529
109,Valparaíso,-33.04,-71.63,54.0,65,100,14.09,CL,1595823529
110,Norman Wells,65.28,-126.83,71.6,46,20,5.82,CA,1595823530
111,Mahébourg,-20.41,57.7,71.6,73,75,14.99,MU,1595823530
112,Simao,22.79,100.97,68.43,95,100,1.95,CN,1595823530
113,Rørvik,64.86,11.24,60.1,72,100,21.74,NO,1595823530
114,Baiyin,36.56,104.21,82.4,21,90,4.47,CN,1595823530
115,Belaya Glina,46.07,40.86,71.2,59,58,12.35,RU,1595823531
116,Guerrero Negro,27.98,-114.06,67.57,86,0,15.9,MX,1595823531
117,Mount Gambier,-37.83,140.77,55.4,58,75,19.46,AU,1595823481
118,Ostrovnoy,68.05,39.51,62.74,72,87,3.18,RU,1595823531
119,Ponta do Sol,32.67,-17.1,68.0,72,20,11.41,PT,1595823532
120,Tateyama,34.98,139.87,80.6,94,75,18.34,JP,1595823532
121,Polonnaruwa,7.93,81.0,80.1,75,100,7.65,LK,1595823532
122,Fort Morgan,40.25,-103.8,64.4,72,1,3.36,US,1595823532
123,Udachny,66.42,112.4,42.8,75,90,8.95,RU,1595823456
124,Saint Paul Harbor,57.79,-152.41,60.8,72,1,5.82,US,1595823330
125,Katsuura,35.13,140.3,84.99,94,75,18.34,JP,1595823533
126,Taoudenni,22.68,-3.98,92.86,11,56,6.13,ML,1595823533
127,Tilichiki,60.47,166.1,71.44,46,0,6.93,RU,1595823533
128,Port Lincoln,-34.73,135.87,57.31,64,59,8.95,AU,1595823533
129,Vestmannaeyjar,63.44,-20.27,50.79,87,99,4.85,IS,1595823237
130,Santa Vitória do Palmar,-33.52,-53.37,46.83,92,1,7.65,BR,1595823534
131,Caldwell,43.66,-116.69,79.0,41,1,4.7,US,1595823334
132,Fukuechō,32.69,128.84,78.8,94,75,12.75,JP,1595823534
133,Namwala,-15.75,26.44,44.44,80,0,2.86,ZM,1595823534
134,Teyateyaneng,-29.15,27.75,32.5,88,32,1.43,LS,1595823535
135,Kainantu,-6.29,145.87,74.7,61,28,5.28,PG,1595823535
136,Hong Kong,22.29,114.16,91.0,63,59,15.99,HK,1595823303
137,Torbay,47.67,-52.73,55.99,100,90,19.46,CA,1595823535
138,Amga,60.9,131.96,79.88,37,100,2.15,RU,1595823535
139,Elliot Lake,46.38,-82.63,71.6,100,75,3.36,CA,1595823536
140,Kathu,7.92,98.33,87.01,79,40,9.17,TH,1595823536
141,Djibouti,11.5,42.5,89.6,46,75,5.82,DJ,1595823536
142,Kalabo,-14.97,22.68,48.81,66,1,5.44,ZM,1595823536
143,Longyearbyen,78.22,15.64,60.8,63,4,2.24,SJ,1595823536
144,Debre Tabor,11.85,38.02,50.16,100,100,2.44,ET,1595823537
145,Hobart,-42.88,147.33,55.99,66,90,14.99,AU,1595823473
146,Haltom City,32.8,-97.27,84.2,69,1,8.05,US,1595823242
147,Bethel,41.37,-73.41,73.0,78,1,4.43,US,1595823537
148,Arraial do Cabo,-22.97,-42.03,71.04,88,49,13.87,BR,1595823538
149,Sørland,67.67,12.69,66.2,55,96,12.75,NO,1595823269
150,Saint-Pierre,-21.34,55.48,68.0,68,51,3.36,RE,1595823291
151,Vaini,-21.2,-175.2,73.4,78,40,11.41,TO,1595823538
152,Coquimbo,-29.95,-71.34,53.6,76,100,2.24,CL,1595823375
153,Yaan,7.38,8.57,71.87,98,100,4.83,NG,1595823538
154,Kiama,-34.68,150.87,57.99,96,100,11.99,AU,1595823539
155,Shingū,33.73,135.98,82.4,78,75,9.17,JP,1595823539
156,Mar del Plata,-38.0,-57.56,51.01,81,100,10.29,AR,1595823539
157,Port Elizabeth,-33.92,25.57,50.0,87,92,8.05,ZA,1595823539
158,Leningradskiy,69.38,178.42,51.37,79,75,14.23,RU,1595823539
159,Luorong,24.41,109.61,86.85,72,99,8.95,CN,1595823540
160,Manaus,-3.1,-60.02,78.8,83,20,2.24,BR,1595823289
161,Plettenberg Bay,-34.05,23.37,51.13,74,28,3.0,ZA,1595823540
162,Goose Creek,32.98,-80.03,78.8,88,20,3.36,US,1595823417
163,Hereford,52.06,-2.71,60.01,89,100,3.0,GB,1595823498
164,Zhezkazgan,47.8,67.71,77.0,33,0,17.9,KZ,1595823540
165,Lebu,-37.62,-73.65,47.66,82,62,7.67,CL,1595823249
166,Bojnourd,37.47,57.33,80.6,39,0,2.24,IR,1595823541
167,Burnie,-41.07,145.92,60.01,54,100,3.0,AU,1595823541
168,Tamandaré,-8.76,-35.1,74.23,78,94,10.69,BR,1595823541
169,Rosarito,32.33,-117.03,68.0,88,1,4.7,MX,1595823541
170,Atuona,-9.8,-139.03,80.42,71,5,24.61,PF,1595823307
171,Tullahoma,35.36,-86.21,77.0,78,1,2.57,US,1595823542
172,Izberbash,42.57,47.86,80.6,65,2,6.71,RU,1595823542
173,Clyde River,70.47,-68.59,42.8,93,90,10.29,CA,1595823542
174,Port Blair,11.67,92.75,86.31,68,100,3.33,IN,1595823343
175,Manokwari,-0.87,134.08,83.34,72,100,3.2,ID,1595823542
176,Bilibino,68.05,166.44,79.9,32,94,20.83,RU,1595823543
177,Asău,46.43,26.4,63.0,85,98,4.07,RO,1595823543
178,Del Rio,29.36,-100.9,80.6,69,1,4.7,US,1595823543
179,Nuevitas,21.55,-77.26,78.8,100,20,8.05,CU,1595823543
180,Kruisfontein,-34.0,24.73,49.6,75,85,3.0,ZA,1595823543
181,Aljezur,37.32,-8.8,75.99,71,0,8.01,PT,1595823543
182,Bonthe,7.53,-12.51,75.85,79,100,9.26,SL,1595823511
183,Mauá,-23.67,-46.46,61.0,87,54,3.36,BR,1595823544
184,Rossano,39.58,16.63,68.0,89,0,2.95,IT,1595823544
185,Takoradze,4.88,-1.76,73.65,88,29,7.96,GH,1595823544
186,Buraidah,26.33,43.98,91.4,38,0,3.36,SA,1595823275
187,Angoram,-4.06,144.07,90.32,54,74,5.21,PG,1595823544
188,Muzhi,65.37,64.67,57.74,63,85,4.36,RU,1595823545
189,Jutaí,-5.18,-68.9,71.82,96,17,1.32,BR,1595823545
190,Cockburn Town,21.46,-71.14,82.31,83,32,15.64,TC,1595823248
191,Miguel Alves,-4.17,-42.9,67.91,77,12,1.14,BR,1595823545
192,Assens,55.27,9.9,57.2,93,33,3.36,DK,1595823545
193,Puerto Ayora,-0.74,-90.35,68.0,87,54,4.0,EC,1595823546
194,Mariental,-24.63,17.97,45.03,55,0,6.78,NA,1595823546
195,Grindavik,63.84,-22.43,44.6,87,38,13.87,IS,1595823546
196,Broome,42.25,-75.83,73.4,69,1,4.7,US,1595823546
197,Chapais,49.78,-74.85,66.2,100,1,2.24,CA,1595823460
198,Wanning,18.8,110.4,90.7,62,80,14.12,CN,1595823547
199,Comodoro Rivadavia,-45.87,-67.5,35.6,64,66,9.17,AR,1595823492
200,Seddon,-37.81,144.89,55.99,82,90,19.46,AU,1595823547
201,Nome,64.5,-165.41,57.99,87,90,10.29,US,1595823547
202,Leh,34.17,77.58,65.28,36,17,7.18,IN,1595823548
203,Xinxiang,35.31,113.87,82.0,62,78,5.82,CN,1595823548
204,Moïssala,8.34,17.77,68.05,97,52,1.74,TD,1595823548
205,Tasiilaq,65.61,-37.64,41.0,93,100,5.82,GL,1595823532
206,Kiryat Gat,31.61,34.76,78.01,83,2,0.76,IL,1595823361
207,Martinsville,36.69,-79.87,75.99,100,1,3.91,US,1595823419
208,Belaya Gora,68.53,146.42,70.77,45,67,11.99,RU,1595823549
209,Whitehorse,60.72,-135.05,62.6,36,75,14.99,CA,1595823457
210,Namatanai,-3.67,152.43,83.59,74,100,6.76,PG,1595823549
211,Belmonte,-15.86,-38.88,69.8,83,20,2.24,BR,1595823549
212,Berdigestyakh,62.1,126.7,71.28,61,100,8.16,RU,1595823549
213,Srednekolymsk,67.45,153.68,70.77,48,100,13.24,RU,1595823550
214,Trincomalee,8.57,81.23,83.41,72,98,13.22,LK,1595823550
215,Galesong,-5.32,119.37,87.8,55,20,6.93,ID,1595823550
216,Kirovskiy,45.09,133.51,82.85,52,3,1.01,RU,1595823550
217,Faanui,-16.48,-151.75,79.36,77,100,15.08,PF,1595823367
218,Caçapava,-23.1,-45.71,59.0,93,25,2.24,BR,1595823551
219,Nelson Bay,-32.72,152.15,62.01,87,90,21.92,AU,1595823551
220,Airai,-8.93,125.41,72.61,52,70,5.64,TL,1595823551
221,Port Maria,18.37,-76.89,80.01,82,4,1.99,JM,1595823551
222,Mahon,39.89,4.27,71.6,88,0,4.7,ES,1595823551
223,Dzaoudzi,-12.79,45.27,75.2,78,90,14.99,YT,1595823552
224,Balkanabat,39.51,54.37,99.57,16,0,9.06,TM,1595823552
225,Sfântu Gheorghe,45.87,25.78,55.99,88,1,0.67,RO,1595823552
226,Lavrentiya,65.58,-171.0,65.43,53,65,18.28,RU,1595823552
227,San Cristobal,7.77,-72.22,64.49,84,64,2.59,VE,1595823552
228,Matamoros,25.53,-103.25,75.0,62,90,8.01,MX,1595823535
229,Port Hardy,50.7,-127.42,64.4,82,20,12.75,CA,1595823553
230,Mama,58.31,112.9,63.82,76,100,3.2,RU,1595823553
231,Karlstad,59.38,13.5,59.0,100,28,9.17,SE,1595823553
232,Upernavik,72.79,-56.15,42.78,81,19,6.51,GL,1595823553
233,Samarai,-10.62,150.67,80.08,83,26,9.82,PG,1595823553
234,Kahului,20.89,-156.47,82.4,74,75,5.82,US,1595823259
235,Cotonou,6.37,2.42,75.2,94,20,9.17,BJ,1595823554
236,Douglas,41.3,-96.17,73.4,94,90,9.17,US,1595823554
237,Khuzhir,53.19,107.34,56.08,91,100,5.28,RU,1595823554
238,Vao,-22.67,167.48,71.31,81,17,15.37,NC,1595823285
239,San Patricio,19.22,-104.7,79.38,80,98,1.43,MX,1595823555
240,Dourados,-22.22,-54.81,62.22,78,100,6.06,BR,1595823382
241,Avera,33.19,-82.53,78.8,94,1,4.32,US,1595823555
242,Loukhi,66.08,33.04,56.82,90,63,3.67,RU,1595823555
243,Benghazi,32.12,20.07,76.82,81,0,13.58,LY,1595823555
244,Severo-Kuril'sk,50.68,156.12,53.1,86,96,17.18,RU,1595823405
245,Durban,-29.86,31.03,57.99,93,75,10.29,ZA,1595823545
246,Cabo San Lucas,22.89,-109.91,82.99,78,40,13.87,MX,1595823381
247,Adet,11.26,37.49,56.08,89,100,2.51,ET,1595823556
248,Nikki,9.94,3.21,70.29,96,100,6.53,BJ,1595823556
249,Samarkand,39.65,66.96,86.0,27,0,16.11,UZ,1595823556
250,Arrecife,28.96,-13.55,71.6,78,60,18.34,ES,1595823557
251,Mbumi,-7.91,39.21,69.6,85,99,3.44,TZ,1595823557
252,Santa Luzia,-19.77,-43.85,66.2,72,0,8.05,BR,1595823557
253,Thai Binh,20.45,106.33,87.8,79,75,10.29,VN,1595823486
254,Saint-François,46.42,3.91,57.2,87,0,2.37,FR,1595823515
255,Banda Aceh,5.56,95.32,85.78,63,98,2.21,ID,1595823557
256,Cidreira,-30.18,-50.21,55.51,89,83,7.18,BR,1595823558
257,Portland,45.52,-122.68,89.01,42,1,9.17,US,1595823363
258,Vaitape,-16.52,-151.75,80.17,75,100,15.1,PF,1595823558
259,Grand Gaube,-20.01,57.66,72.0,71,91,8.99,MU,1595823558
260,Puerto Ayacucho,5.66,-67.62,74.53,92,100,1.05,VE,1595823558
261,Dvinskoy Bereznik,62.86,42.71,65.77,68,0,2.37,RU,1595823559
262,Nouadhibou,20.93,-17.03,71.6,83,0,21.92,MR,1595823559
263,Port Macquarie,-31.43,152.92,71.01,52,48,3.0,AU,1595823374
264,Aklavik,68.22,-135.01,71.6,37,75,9.17,CA,1595823545
265,Flin Flon,54.77,-101.86,58.84,82,0,5.79,CA,1595823304
266,Marzuq,14.4,46.47,76.71,62,98,1.14,YE,1595823560
267,Praia da Vitória,38.73,-27.07,73.4,94,90,3.96,PT,1595823560
268,Bokaro Steel City,23.78,85.97,91.81,54,81,5.41,IN,1595823560
269,Belyy Yar,53.6,91.39,68.0,64,91,11.18,RU,1595823560
270,Yurla,59.33,54.32,65.1,68,0,2.01,RU,1595823544
271,Bristol,41.83,-71.17,81.0,74,1,4.7,US,1595823465
272,Namie,37.48,141.0,75.0,93,100,4.74,JP,1595823561
273,Câmara de Lobos,32.63,-16.97,68.0,72,20,11.41,PT,1595823561
274,Manicoré,-5.81,-61.3,75.9,64,24,1.77,BR,1595823561
275,Caucayá,-0.19,-74.78,72.18,92,91,1.12,CO,1595823561
276,Esmeralda,21.85,-78.12,78.8,100,7,8.05,CU,1595823561
277,Verkhnyaya Inta,65.98,60.31,58.55,63,17,8.08,RU,1595823562
278,Mashivka,49.44,34.87,68.81,61,98,9.06,UA,1595823562
279,Gmina Jędrzejów,50.64,20.3,64.99,80,100,1.99,PL,1595823562
280,Tres Arroyos,-38.37,-60.28,48.52,52,97,15.12,AR,1595823562
281,Gatehouse of Fleet,54.88,-4.18,57.0,95,100,5.01,GB,1595823562
282,Dorobanţu,44.22,26.95,70.0,69,14,3.0,RO,1595823562
283,Suntar,62.14,117.63,71.94,49,82,4.99,RU,1595823563
284,Pāvilosta,56.89,21.19,64.4,93,85,2.24,LV,1595823563
285,Evensk,61.95,159.23,55.24,83,95,12.28,RU,1595823563
286,Nanortalik,60.14,-45.24,42.84,87,9,2.82,GL,1595823563
287,Kasongo-Lunda,-6.47,16.82,63.86,46,93,1.07,CD,1595823563
288,Tianmen,30.65,113.16,81.81,74,75,4.88,CN,1595823564
289,Yel'nya,54.58,33.18,62.69,96,100,4.65,RU,1595823564
290,Abhā,18.22,42.51,66.2,88,88,11.61,SA,1595823564
291,Charleston,32.78,-79.93,81.0,88,1,3.49,US,1595823412
292,Faya,18.39,42.45,66.2,88,93,10.8,SA,1595823564
293,Guangyuan,32.44,105.82,91.0,68,38,2.64,CN,1595823564
294,Pisco,-13.7,-76.22,60.8,82,90,9.17,PE,1595823565
295,São Francisco,-15.95,-44.86,65.17,80,0,4.63,BR,1595823565
296,Bicester,51.9,-1.15,57.99,95,100,13.11,GB,1595823565
297,Carnarvon,-24.87,113.63,71.6,40,0,5.82,AU,1595823565
298,Guane,22.2,-84.09,79.57,88,100,5.91,CU,1595823565
299,Husavik,66.04,-17.34,42.8,87,90,4.7,IS,1595823566
300,San Antonio,29.42,-98.49,81.0,83,40,8.05,US,1595823379
301,Vanimo,-2.67,141.3,85.1,67,86,9.04,PG,1595823566
302,Belém,-1.46,-48.5,78.8,88,4,6.93,BR,1595823328
303,Saint Anthony,45.02,-93.22,73.4,56,1,10.29,US,1595823566
304,Yeppoon,-23.13,150.73,71.6,30,0,11.41,AU,1595823566
305,Barvinkove,48.91,37.02,70.79,51,94,11.01,UA,1595823567
306,Morro Bay,35.37,-120.85,61.0,89,10,3.02,US,1595823567
307,Coyhaique,-45.58,-72.07,32.0,94,23,3.36,CL,1595823274
308,Souillac,-20.52,57.52,71.6,73,75,14.99,MU,1595823469
309,Half Moon Bay,37.46,-122.43,64.99,93,90,4.7,US,1595823568
310,Arvin,35.21,-118.83,90.0,31,0,5.01,US,1595823568
311,Gáldar,28.15,-15.65,71.6,73,75,25.28,ES,1595823568
312,Toamasina,-18.17,49.38,66.2,88,75,9.17,MG,1595823568
313,Eskil,38.4,33.41,71.38,50,0,8.43,TR,1595823569
314,Tawao,4.25,117.89,84.2,79,20,8.05,MY,1595823569
315,Mayumba,-3.43,10.66,71.06,86,86,3.4,GA,1595823569
316,Luanshya,-13.14,28.42,45.61,85,5,4.61,ZM,1595823569
317,Oranjemund,-28.55,16.43,54.28,86,0,6.82,NA,1595823569
318,Beloha,-25.17,45.05,55.94,85,0,4.92,MG,1595823569
319,Kārkala,13.2,74.98,80.6,88,40,3.36,IN,1595823570
320,Menongue,-14.66,17.69,45.99,68,36,4.92,AO,1595823570
321,Biarritz,43.48,-1.56,64.4,93,0,3.36,FR,1595823570
322,Sioux Lookout,50.1,-91.92,69.8,56,20,9.17,CA,1595823570
323,Ngunguru,-35.62,174.5,57.99,21,38,4.0,NZ,1595823570
324,Iqaluit,63.75,-68.51,44.6,93,40,2.24,CA,1595823571
325,Korla,41.76,86.15,90.79,20,0,7.65,CN,1595823571
326,Qandala,11.47,49.87,87.58,56,0,2.64,SO,1595823427
327,Iwanai,42.97,140.51,75.63,67,100,1.72,JP,1595823571
328,Camocim,-2.9,-40.84,74.68,76,24,12.08,BR,1595823464
329,Neiafu,-18.65,-173.98,75.2,83,75,11.41,TO,1595823571
330,Bloemfontein,-29.12,26.21,28.4,86,1,5.82,ZA,1595823407
331,Batemans Bay,-35.72,150.18,54.0,100,100,5.01,AU,1595823521
332,Coahuayana Viejo,18.73,-103.68,78.93,81,100,1.72,MX,1595823572
333,Quryq,43.2,51.65,89.11,20,0,17.47,KZ,1595823572
334,Gisborne,-38.65,178.0,55.0,63,11,4.0,NZ,1595823572
335,Honningsvåg,70.98,25.97,62.6,67,1,9.17,NO,1595823573
336,Vardø,70.37,31.11,62.6,72,33,6.93,NO,1595823573
337,Lata,40.16,-8.33,62.01,89,0,2.71,PT,1595823573
338,Inírida,3.87,-67.92,73.26,97,100,2.39,CO,1595823573
339,Saint-Augustin,51.23,-58.65,52.86,94,20,4.47,CA,1595823573
340,Caravelas,-17.71,-39.25,70.79,83,30,5.35,BR,1595823285
341,Alofi,-19.06,-169.92,73.4,88,37,9.17,NU,1595823574
342,Hamilton,39.18,-84.53,81.0,83,1,5.19,US,1595823530
343,Mendoza,-32.89,-68.83,50.0,45,7,6.93,AR,1595823517
344,Torata,-17.08,-70.84,48.24,42,0,1.59,PE,1595823574
345,Malakal,9.53,31.66,70.79,96,75,3.71,SS,1595823575
346,Laredo,27.51,-99.51,73.4,100,90,4.7,US,1595823575
347,Trairi,-3.28,-39.27,76.46,81,99,10.98,BR,1595823575
348,Cayenne,4.93,-52.33,75.2,100,30,2.24,GF,1595823575
349,Waingapu,-9.66,120.26,83.52,57,93,18.39,ID,1595823575
350,Zabaykal'sk,49.63,117.32,84.63,40,21,18.34,RU,1595823576
351,Lucapa,-8.42,20.74,59.58,42,47,4.18,AO,1595823576
352,Tsimmerbude,54.67,20.13,62.6,100,75,4.47,RU,1595823576
353,Ürümqi,43.8,87.6,86.0,33,91,6.71,CN,1595823576
354,Santa Maria,-29.68,-53.81,51.21,85,12,3.42,BR,1595823576
355,Vostok,46.49,135.88,80.31,48,30,4.23,RU,1595823487
356,Altamira,-3.2,-52.21,77.29,59,58,2.44,BR,1595823577
357,Kawambwa,-9.79,29.08,49.91,90,58,5.03,ZM,1595823577
358,Tuatapere,-46.13,167.68,53.13,65,0,3.49,NZ,1595823577
359,Zainsk,55.32,52.07,64.4,72,6,6.71,RU,1595823577
360,Sakaiminato,35.55,133.23,84.2,70,75,10.29,JP,1595823578
361,Alaca,40.17,34.84,70.07,51,0,2.93,TR,1595823578
362,Codrington,-38.27,141.97,53.47,72,54,19.37,AU,1595823578
363,Soyo,-6.13,12.37,70.7,88,14,5.7,AO,1595823280
364,Constitución,-35.33,-72.42,49.87,80,100,7.61,CL,1595823578
365,‘Āhuimanu,21.44,-157.84,80.6,74,90,11.41,US,1595823578
366,Naze,28.37,129.48,89.6,75,75,14.99,JP,1595823579
367,Alyangula,-13.85,136.42,80.6,39,89,12.75,AU,1595823579
368,Iracoubo,5.48,-53.2,78.12,87,38,7.85,GF,1595823579
369,Arman',59.7,150.17,63.57,63,0,9.35,RU,1595823579
370,Shache,38.42,77.24,91.29,16,97,5.17,CN,1595823579
371,Huarmey,-10.07,-78.15,59.81,86,11,7.45,PE,1595823580
372,Calabozo,8.92,-67.43,73.94,96,97,2.39,VE,1595823580
